scientific_name	strain	gcf_accession	refseq_category	phylum	class	order	family	genus	species	habitat	oxygen_requirement	gut_flag	pathogenicity
Alistipes indistinctus YIT 12060	YIT 12060	GCF_025144995.1	reference genome	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes indistinctus	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Alkalibacter rhizosphaerae	ES005	GCF_017352215.1	reference genome	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Alkalibacter	Alkalibacter rhizosphaerae	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Alkalibacterium putridalgicola	BIM B-1968	GCF_040959045.1	reference genome	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium	Alkalibacterium putridalgicola	human gut/dairy	facultative_anaerobe	gut_dominant	non_pathogenic
Alkalicella caledoniensis	LB2	GCF_014467015.1	reference genome	Bacillota	Clostridia	Eubacteriales	Proteinivoracaceae	Alkalicella	Alkalicella caledoniensis	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Alkalicoccus halolimnae	BZ-SZ-XJ29	GCF_008014775.2	reference genome	Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalicoccus	Alkalicoccus halolimnae	soil	aerobe	non_gut	non_pathogenic
Alkalihalophilus pseudofirmus	DSM 8715	GCF_029094545.1	reference genome	Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalihalophilus	Alkalihalophilus pseudofirmus	soil	aerobe	non_gut	non_pathogenic
Alkalilimnicola ehrlichii MLHE-1	MLHE-1	GCF_000014785.1	reference genome	Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Alkalilimnicola	Alkalilimnicola ehrlichii	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Alkalimarinus sediminis	FA028	GCF_026427595.1	reference genome	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alkalimarinus	Alkalimarinus sediminis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Alkaliphilus metalliredigens QYMF	QYMF	GCF_000016985.1	reference genome	Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Alkaliphilus	Alkaliphilus metalliredigens	human gut	obligate_anaerobe	gut_associated	opportunistic_pathogen
Alkalitalea saponilacus	SC/BZ-SP2	GCF_002201795.1	reference genome	Bacteroidota	Bacteroidia	Marinilabiliales	Marinilabiliaceae	Alkalitalea	Alkalitalea saponilacus	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
